state,slope_angle,elevation_m,soil_type,fault_dist_km,ndvi,road_cut_idx,rainfall_24h_mm,rainfall_72h_mm,soil_sat_pct,pwp_kpa,tilt_rate_deg_day,pga_seismic_g,layer1_susceptibility,layer2_dynamic_trigger,composite_risk_score,landslide_event
Meghalaya,29.79,1333.5,3,0.64,0.607,32.7,15.1,27.9,32.0,55.8,0.074,0.025,54.8,12.0,27.0,0
Nagaland,33.62,1884.4,2,0.34,0.834,15.0,83.0,171.9,73.7,116.6,0.102,0.005,69.5,55.2,60.2,0
Nagaland,34.82,1830.0,2,7.92,0.786,53.8,21.1,43.4,32.6,47.1,0.006,0.006,65.2,15.7,33.0,1
Mizoram,31.51,821.7,2,2.49,0.544,52.1,36.2,74.8,50.9,91.4,0.013,0.021,67.0,29.6,42.7,0
Meghalaya,34.99,2011.0,3,3.29,0.558,71.0,18.9,36.2,41.0,73.7,0.095,0.015,57.2,20.6,33.4,0
Arunachal Pradesh,32.44,2948.1,1,0.87,0.607,100.0,58.0,139.8,61.9,89.9,0.066,0.047,52.4,46.1,48.3,0
Sikkim,30.04,2425.8,2,0.29,0.637,64.8,39.2,73.6,49.1,64.6,0.059,0.022,72.3,24.8,41.4,0
Sikkim,26.7,2382.0,2,2.06,0.52,31.7,28.6,45.5,23.8,35.1,0.049,0.01,62.9,16.7,32.8,0
Mizoram,36.17,2060.6,2,3.17,0.748,95.6,0.9,2.1,34.9,59.4,0.108,0.003,76.5,12.4,34.8,0
Meghalaya,22.16,1229.9,2,6.53,0.456,57.1,137.8,246.6,99.0,160.6,1.328,0.002,60.4,82.1,74.5,1
Sikkim,41.54,3502.8,2,3.13,0.806,64.6,185.4,269.6,99.0,122.3,0.058,0.014,72.6,85.8,81.2,1
Arunachal Pradesh,34.72,4013.3,1,6.87,0.694,35.8,9.0,13.2,38.9,51.8,0.021,0.017,35.0,15.2,22.1,0
Meghalaya,30.43,1558.0,2,0.55,0.667,45.2,18.2,37.9,41.1,60.9,0.079,0.013,71.2,19.9,37.9,0
Sikkim,36.21,3159.0,2,0.3,0.299,41.9,95.0,261.7,99.0,175.7,2.631,0.011,75.6,78.3,77.3,1
Nagaland,49.36,1052.5,3,0.78,0.734,93.6,35.8,54.1,27.1,42.5,0.05,0.016,79.9,20.2,41.1,0
Arunachal Pradesh,33.78,2795.0,2,6.65,0.613,81.0,25.7,47.9,24.5,30.1,0.015,0.011,66.9,15.2,33.3,0
Mizoram,26.33,1751.2,2,6.41,0.76,9.1,252.5,367.3,99.0,141.6,0.316,0.001,53.2,92.2,78.5,1
Assam,31.41,506.1,3,0.69,0.694,31.4,75.2,171.7,74.0,129.0,0.001,0.003,53.0,45.2,47.9,0
Arunachal Pradesh,27.43,2609.4,1,0.14,0.808,5.6,4.6,10.2,23.6,35.4,0.114,0.002,43.1,8.2,20.4,0
Meghalaya,24.63,832.3,1,5.2,0.832,51.7,88.1,158.4,83.1,104.6,0.775,0.008,33.5,59.2,50.2,0
Arunachal Pradesh,45.85,2457.5,2,8.7,0.363,27.9,121.0,298.2,92.5,144.3,0.716,0.001,69.2,80.9,76.8,1
Mizoram,35.16,864.4,1,6.31,0.587,7.3,8.6,12.5,19.2,30.9,0.079,0.007,39.8,10.0,20.5,0
Meghalaya,29.77,1834.0,2,1.02,0.59,77.2,3.5,5.6,27.6,45.5,0.025,0.002,69.9,8.0,29.7,0
Sikkim,30.23,2293.6,1,3.94,0.591,9.1,29.5,43.8,31.8,44.6,0.064,0.015,38.0,18.5,25.3,0
Meghalaya,19.2,964.9,1,6.37,0.519,27.2,46.6,87.2,52.5,85.0,0.005,0.05,29.0,30.7,30.1,0
Manipur,29.7,397.3,2,1.33,0.476,77.2,63.1,132.9,49.9,69.4,0.062,0.022,71.3,39.7,50.8,0
Arunachal Pradesh,44.29,1823.4,2,3.38,0.549,51.2,1.2,2.2,22.2,33.5,0.13,0.002,74.9,6.3,30.3,1
Arunachal Pradesh,50.62,1941.0,3,1.7,0.756,81.7,8.8,16.2,14.6,17.7,0.14,0.001,71.8,9.3,31.2,0
Manipur,26.71,414.5,3,1.15,0.575,41.4,43.7,96.3,54.6,87.6,0.014,0.031,54.2,35.1,41.8,0
Meghalaya,35.51,1633.4,1,15.72,0.631,81.5,33.6,58.3,38.5,54.9,0.039,0.002,44.1,19.3,28.0,0
Manipur,16.87,118.2,2,10.97,0.712,53.8,2.4,4.2,12.8,20.7,0.008,0.052,39.3,6.8,18.1,1
Mizoram,25.62,1875.6,1,2.65,0.635,8.8,226.1,601.9,99.0,176.1,1.674,0.005,37.4,98.2,76.9,1
Nagaland,40.57,1791.7,2,0.66,0.72,47.1,63.9,154.6,75.3,94.1,0.018,0.013,76.3,46.4,56.8,1
Meghalaya,29.32,1960.2,3,5.86,0.825,55.4,20.0,42.1,32.1,55.0,0.033,0.012,55.3,17.4,30.6,0
Nagaland,25.96,2160.7,2,1.33,0.676,61.2,34.6,82.5,57.3,76.8,0.003,0.032,68.7,31.3,44.4,0
Manipur,16.48,745.6,1,0.83,0.597,92.8,21.1,42.6,32.3,43.5,0.02,0.009,38.6,21.2,27.3,0
Meghalaya,41.06,909.2,2,2.16,0.784,18.4,27.3,73.2,45.6,60.9,0.17,0.007,78.0,27.8,45.4,0
Arunachal Pradesh,31.41,3031.8,1,3.4,0.786,60.6,40.8,67.2,46.1,59.1,0.061,0.015,40.8,25.6,30.9,0
Sikkim,35.33,2137.1,2,0.46,0.78,75.2,22.9,37.5,45.6,60.0,0.013,0.013,75.0,21.4,40.2,0
Arunachal Pradesh,37.61,2268.9,2,3.82,0.781,89.0,43.6,64.7,45.2,74.4,0.002,0.032,75.2,28.0,44.5,0
Sikkim,40.43,2154.5,2,0.1,0.564,52.5,28.2,46.5,39.1,64.9,0.055,0.032,80.9,20.1,41.4,1
Sikkim,30.82,2249.6,3,10.01,0.582,21.4,48.2,82.3,43.1,76.6,0.127,0.017,47.5,30.0,36.1,0
Meghalaya,31.45,1349.0,2,11.41,0.465,81.8,13.7,35.6,36.6,46.2,0.044,0.079,59.7,19.5,33.6,0
Mizoram,38.61,1813.4,3,5.94,0.68,90.5,8.4,17.8,25.4,32.8,0.028,0.036,60.7,10.4,28.0,0
Meghalaya,47.05,1246.0,3,2.83,0.55,10.6,0.6,1.0,31.3,54.2,0.088,0.006,64.1,6.8,26.9,0
Mizoram,24.97,1881.4,2,1.32,0.665,23.0,41.5,107.5,57.6,88.7,0.036,0.001,59.6,32.1,41.7,0
Arunachal Pradesh,30.6,4085.2,2,6.13,0.55,87.1,177.8,267.9,99.0,151.2,0.876,0.019,66.4,93.0,83.7,1
Arunachal Pradesh,31.67,2738.3,1,12.08,0.555,48.4,24.5,44.1,31.5,52.4,0.055,0.005,34.5,18.0,23.8,0
Arunachal Pradesh,43.69,2267.9,2,0.78,0.765,16.9,10.8,29.2,33.5,51.3,0.002,0.021,80.7,16.2,38.7,0
Meghalaya,25.39,1174.1,2,2.82,0.472,64.5,0.6,1.6,28.1,34.7,0.048,0.003,70.8,12.7,33.1,0
Arunachal Pradesh,37.05,3138.8,1,1.7,0.548,45.8,32.4,62.1,45.2,78.6,0.026,0.036,50.8,25.9,34.6,0
Sikkim,36.21,1832.3,2,1.99,0.747,96.8,221.4,559.5,99.0,126.8,0.421,0.007,72.3,90.3,84.0,1
Sikkim,57.23,3791.6,3,2.34,0.743,22.3,185.5,300.1,99.0,147.3,0.525,0.005,73.4,91.3,85.1,1
Nagaland,28.47,1121.8,3,13.65,0.642,36.2,4.8,12.7,35.3,50.1,0.084,0.008,44.4,19.5,28.2,0
Arunachal Pradesh,33.25,3327.3,2,1.35,0.498,16.6,76.3,191.4,72.3,102.9,0.012,0.027,74.4,51.2,59.3,1
Mizoram,36.68,1402.9,2,3.05,0.792,5.0,8.6,19.9,40.6,55.7,0.024,0.018,65.9,12.8,31.4,0
Mizoram,34.41,1104.9,3,13.62,0.318,27.4,74.6,191.9,86.0,152.6,1.883,0.001,53.3,64.5,60.6,1
Nagaland,27.66,1047.3,2,2.91,0.552,82.0,217.6,476.1,99.0,123.8,0.303,0.002,69.9,85.4,80.0,1
Assam,28.24,310.6,1,8.96,0.67,26.7,136.7,254.9,99.0,166.5,1.91,0.035,29.4,83.0,64.2,1
Arunachal Pradesh,27.22,1995.9,2,0.27,0.679,69.6,12.2,28.4,22.9,32.9,0.003,0.018,73.1,14.2,34.8,0
Arunachal Pradesh,37.87,2657.3,3,13.76,0.624,52.6,2.6,6.1,24.8,30.6,0.029,0.007,55.6,10.3,26.1,0
Manipur,18.37,310.5,1,0.93,0.649,52.0,190.9,422.3,99.0,152.8,0.002,0.008,35.5,91.9,72.2,1
Meghalaya,31.3,1903.5,2,17.59,0.838,78.2,1.2,3.0,21.8,31.0,0.039,0.009,53.3,6.7,23.0,0
Meghalaya,27.6,1801.4,2,0.87,0.649,61.8,44.3,65.3,37.5,50.0,0.049,0.002,68.1,26.6,41.1,0
Mizoram,31.45,2186.6,3,2.64,0.483,16.0,36.8,84.4,30.9,43.9,0.051,0.006,55.5,22.9,34.3,0
Mizoram,33.61,1153.7,3,1.66,0.779,22.1,21.5,47.4,33.4,59.7,0.001,0.007,55.1,21.7,33.4,0
Assam,7.03,420.2,2,2.56,0.368,54.4,27.9,47.6,37.0,61.3,0.023,0.063,50.7,24.3,33.6,0
Tripura,17.47,858.1,3,1.3,0.556,84.5,207.7,316.1,99.0,167.5,0.02,0.003,53.9,91.2,78.1,1
Nagaland,26.84,926.1,1,15.13,0.664,15.2,8.3,17.0,39.9,60.5,0.063,0.004,22.5,14.9,17.6,0
Sikkim,57.36,4190.7,1,1.64,0.541,10.7,192.1,337.3,99.0,136.4,0.642,0.041,60.5,96.2,83.7,1
Manipur,30.91,466.1,3,4.77,0.657,51.8,46.6,115.7,50.7,77.5,0.129,0.05,57.5,35.5,43.2,1
Arunachal Pradesh,41.97,2978.8,2,0.67,0.748,18.9,49.0,102.3,50.1,76.5,0.003,0.027,74.4,35.6,49.2,0
Sikkim,31.31,3639.0,1,7.83,0.516,99.4,19.1,52.4,40.4,52.0,0.004,0.003,44.4,15.4,25.6,0
Manipur,17.18,155.8,2,3.52,0.476,0.4,11.0,30.1,52.7,84.2,0.016,0.012,56.0,20.0,32.6,0
Sikkim,35.99,2888.3,3,17.48,0.614,44.9,47.3,124.7,80.4,134.2,0.631,0.016,51.9,44.7,47.2,0
Sikkim,33.84,2596.9,3,2.48,0.637,16.3,109.7,250.4,99.0,151.4,0.882,0.016,56.9,75.0,68.6,1
Arunachal Pradesh,42.62,2141.2,3,0.98,0.692,68.1,167.8,375.6,99.0,142.4,0.954,0.026,74.5,89.1,84.0,1
Manipur,29.61,336.0,2,1.91,0.658,63.0,29.5,50.3,21.8,34.4,0.085,0.014,69.3,16.0,34.7,0
Meghalaya,13.24,1207.7,3,6.01,0.729,80.7,141.7,340.6,99.0,150.7,4.527,0.022,38.7,92.2,73.5,1
Mizoram,29.95,1930.5,2,4.84,0.761,56.3,19.3,51.8,44.1,55.1,0.137,0.076,68.8,23.4,39.3,0
Sikkim,56.22,2011.0,2,6.78,0.699,18.9,74.7,137.4,68.0,96.9,0.036,0.006,73.6,49.2,57.7,1
Nagaland,30.2,1546.9,3,0.34,0.723,5.3,13.3,34.2,40.0,70.2,0.118,0.008,54.3,18.1,30.8,0
Nagaland,34.01,1893.2,2,3.91,0.825,72.2,32.4,63.9,51.9,64.2,0.074,0.005,68.3,30.7,43.8,0
Sikkim,21.18,3576.1,1,12.11,0.763,44.0,131.2,359.0,99.0,135.7,0.105,0.006,17.5,83.2,60.2,1
Sikkim,49.55,4041.5,2,0.51,0.629,22.2,93.8,183.7,84.5,144.8,3.675,0.004,82.4,65.3,71.3,1
Arunachal Pradesh,29.33,3189.3,2,0.45,0.448,25.2,15.0,37.1,39.6,47.6,0.03,0.005,66.2,18.0,34.8,0
Tripura,22.65,194.4,1,5.67,0.732,14.9,52.2,132.2,51.2,90.4,0.022,0.037,25.5,39.4,34.5,0
Mizoram,25.94,2021.0,1,1.7,0.679,28.4,185.4,444.2,99.0,159.7,0.095,0.007,37.9,86.9,69.8,1
Assam,5.65,151.3,2,4.84,0.686,79.2,17.9,34.7,30.7,43.9,0.003,0.054,50.8,17.3,29.0,0
Sikkim,40.95,2528.1,1,3.55,0.78,62.1,13.2,21.4,35.6,43.4,0.205,0.04,47.1,18.6,28.6,0
Nagaland,37.35,1352.8,3,19.23,0.531,98.7,73.3,112.9,60.4,74.1,0.022,0.002,58.5,39.1,45.9,0
Nagaland,31.69,1399.4,2,9.89,0.544,52.4,32.1,49.2,47.3,65.2,0.058,0.024,61.2,25.7,38.1,1
Mizoram,24.1,1036.0,1,5.1,0.838,52.1,42.5,105.4,64.9,103.6,0.155,0.008,33.1,39.2,37.1,0
Assam,34.36,116.7,2,1.37,0.736,19.1,147.3,284.7,99.0,122.8,0.078,0.008,63.7,81.7,75.4,1
Sikkim,44.14,1787.2,3,1.37,0.688,58.6,22.8,44.1,43.1,74.5,0.046,0.013,65.9,16.6,33.9,1
Arunachal Pradesh,39.6,2069.6,1,9.63,0.682,60.8,75.8,127.5,80.8,138.5,1.138,0.003,40.5,56.9,51.2,1
Mizoram,40.17,1177.0,1,3.96,0.758,20.7,45.8,77.9,50.2,68.9,0.017,0.053,44.1,28.7,34.1,0
Nagaland,28.57,2034.9,3,7.01,0.442,8.8,40.5,78.3,30.2,39.8,0.009,0.067,48.4,21.8,31.1,0
Meghalaya,45.58,1314.8,2,2.69,0.496,36.9,103.3,175.4,84.0,122.4,4.158,0.003,82.5,71.0,75.0,1
Arunachal Pradesh,44.31,3611.4,3,0.49,0.717,17.2,109.6,250.6,96.4,132.0,0.481,0.005,68.0,70.2,69.4,1
Meghalaya,39.41,1856.9,2,1.82,0.785,50.3,164.3,425.8,99.0,175.3,0.068,0.0,73.2,88.5,83.2,1
Sikkim,35.34,2896.3,1,0.79,0.735,52.6,28.8,67.8,45.4,70.4,0.055,0.006,49.8,18.5,29.4,0
Meghalaya,24.7,1977.0,1,6.85,0.552,60.8,62.7,113.9,51.6,84.7,0.039,0.023,34.5,36.9,36.1,0
Mizoram,33.42,1901.7,1,5.43,0.506,60.3,33.2,61.5,46.5,70.5,0.015,0.018,45.4,26.5,33.1,0
Nagaland,28.84,2150.2,3,0.42,0.546,67.5,0.2,0.4,35.3,60.1,0.095,0.019,63.5,10.9,29.3,0
Sikkim,55.73,3873.4,3,4.37,0.677,23.0,134.0,303.5,99.0,124.6,1.751,0.004,69.2,83.2,78.3,1
Sikkim,26.99,3168.7,3,9.33,0.781,73.1,0.9,2.3,7.7,12.5,0.001,0.011,47.6,4.1,19.3,0
Sikkim,50.4,3053.7,3,5.38,0.724,52.5,4.2,11.5,28.5,47.3,0.0,0.034,67.3,8.3,28.9,0
Arunachal Pradesh,24.5,2598.9,3,3.22,0.727,43.7,11.4,19.6,26.6,37.7,0.036,0.006,47.1,10.4,23.2,0
Nagaland,25.92,1603.5,2,1.68,0.466,64.8,41.1,74.3,37.5,46.9,0.066,0.018,66.7,26.2,40.4,0
Manipur,10.36,784.9,3,9.82,0.507,50.1,280.0,674.4,99.0,157.6,0.53,0.006,30.7,92.1,70.6,1
Sikkim,33.85,2935.0,1,2.47,0.791,52.6,217.0,340.4,99.0,136.9,0.831,0.013,40.5,92.6,74.4,1
Nagaland,30.7,2038.9,2,8.7,0.44,2.3,47.4,82.4,52.2,81.0,0.004,0.03,57.6,28.2,38.5,0
Manipur,16.35,779.7,2,6.88,0.792,80.2,60.9,104.9,51.3,88.6,0.076,0.011,47.8,41.8,43.9,0
Manipur,22.65,168.9,3,7.62,0.68,42.4,174.8,296.7,99.0,168.2,0.268,0.029,47.0,89.5,74.6,0
Arunachal Pradesh,36.49,4095.3,2,20.63,0.746,51.8,52.3,124.7,79.5,122.9,0.023,0.006,60.6,45.6,50.8,0
Assam,8.27,585.2,3,6.22,0.804,39.0,75.3,125.8,62.4,79.0,0.026,0.011,32.3,43.3,39.4,0
Sikkim,30.2,3651.3,2,0.16,0.574,55.2,18.7,48.7,40.8,59.9,0.087,0.007,68.8,20.4,37.3,0
Sikkim,35.26,2660.6,3,1.03,0.429,5.4,107.0,233.9,98.5,161.2,0.477,0.091,60.5,73.0,68.6,1
Arunachal Pradesh,47.5,1900.1,3,0.16,0.759,38.4,132.5,281.7,99.0,152.5,0.129,0.036,70.8,81.8,78.0,1
Meghalaya,32.96,890.2,1,0.95,0.601,66.9,2.2,4.4,5.0,7.0,0.346,0.006,46.5,5.1,19.6,0
Arunachal Pradesh,34.25,3481.3,3,0.29,0.698,93.8,153.6,265.5,99.0,137.1,0.415,0.004,68.6,82.6,77.7,1
Sikkim,26.11,2956.7,2,3.13,0.749,84.9,60.5,98.3,62.6,100.6,0.053,0.02,67.6,38.4,48.6,1
Sikkim,39.54,1994.1,2,0.13,0.733,96.3,79.0,132.3,60.4,95.4,0.023,0.004,82.7,41.6,55.9,1
Nagaland,41.62,1446.7,3,2.88,0.694,78.2,84.4,228.8,82.3,128.0,0.91,0.003,72.1,59.7,64.0,0
Manipur,18.31,233.8,2,10.31,0.618,63.3,220.8,501.1,99.0,175.3,0.189,0.001,46.6,92.9,76.7,1
Sikkim,30.93,3494.1,2,6.21,0.689,42.3,65.8,136.8,79.3,137.7,0.008,0.008,59.0,49.5,52.9,1
Manipur,23.57,531.4,2,12.97,0.664,12.3,161.7,232.1,96.2,133.5,0.456,0.007,45.9,80.1,68.1,1
Manipur,26.98,737.7,1,1.16,0.522,25.1,10.4,28.4,9.8,13.3,0.108,0.003,42.7,7.6,19.8,0
Nagaland,30.93,846.1,2,3.41,0.471,27.1,1.9,4.5,11.2,19.6,0.131,0.031,67.1,9.0,29.3,0
Arunachal Pradesh,44.08,1549.5,2,1.73,0.744,42.8,49.8,82.7,28.3,37.5,0.0,0.001,72.6,22.8,40.2,0
Mizoram,29.25,1563.4,3,3.06,0.309,61.0,68.1,134.6,60.2,107.5,0.036,0.049,61.1,40.6,47.8,0
Assam,24.6,784.5,1,3.66,0.77,61.9,5.1,11.7,45.8,60.9,0.035,0.024,32.1,14.7,20.8,0
Mizoram,42.03,1816.0,2,0.17,0.649,45.6,0.1,0.2,20.3,25.6,0.008,0.009,81.5,1.8,29.7,0
Sikkim,45.85,3243.4,3,1.2,0.683,27.5,19.9,41.4,23.7,34.0,0.045,0.029,71.3,10.5,31.8,0
Meghalaya,35.86,1363.4,3,5.49,0.443,5.6,49.5,118.7,67.3,117.1,0.036,0.01,51.7,42.0,45.4,0
Mizoram,44.63,2026.8,3,6.67,0.782,98.9,115.8,186.3,65.3,107.0,0.136,0.039,63.6,60.6,61.7,0
Meghalaya,30.36,1181.1,2,3.79,0.505,94.0,95.2,166.6,76.6,119.4,0.003,0.006,68.7,56.3,60.6,1
Arunachal Pradesh,42.68,3062.0,2,1.42,0.802,18.3,52.5,109.7,42.6,69.0,0.046,0.009,77.6,31.7,47.8,0
Sikkim,36.28,1983.2,2,2.34,0.331,60.5,75.7,179.9,91.1,137.8,0.097,0.016,74.2,54.6,61.5,0
Nagaland,35.86,1091.3,1,0.45,0.606,29.6,19.8,43.3,31.6,44.0,0.035,0.044,50.5,18.2,29.5,0
Manipur,24.35,888.5,3,13.78,0.765,19.4,12.7,21.5,19.7,29.6,0.096,0.025,39.0,12.4,21.7,0
Arunachal Pradesh,46.45,2390.5,2,9.14,0.608,68.4,6.0,15.2,22.0,31.4,0.031,0.029,73.4,13.6,34.5,0
Assam,20.4,155.8,2,0.31,0.499,78.6,9.0,19.2,25.1,41.8,0.036,0.004,66.3,11.4,30.7,0
Sikkim,23.16,3431.1,2,0.82,0.663,40.7,148.3,230.7,85.4,111.0,0.502,0.01,58.6,71.9,67.2,1
Mizoram,30.72,2139.9,2,3.92,0.735,5.9,119.6,205.4,62.5,91.9,0.019,0.027,54.9,56.5,55.9,1
Nagaland,36.82,1434.2,2,1.19,0.591,40.1,2.2,6.0,25.2,31.9,0.043,0.08,73.0,12.4,33.6,0
Nagaland,34.38,1880.3,3,12.26,0.836,53.2,28.6,67.8,48.1,59.0,0.006,0.01,43.8,24.2,31.0,0
Assam,22.92,557.0,1,6.34,0.567,89.3,21.0,39.2,43.7,58.5,0.021,0.058,32.9,19.1,23.9,0
Sikkim,44.74,3189.8,2,1.44,0.771,65.7,47.5,82.6,66.5,86.2,0.004,0.015,78.4,40.8,53.9,0
Manipur,13.73,828.6,1,0.1,0.589,71.0,17.9,36.7,43.6,72.7,0.107,0.028,35.7,16.8,23.4,0
Arunachal Pradesh,45.21,4065.9,1,7.23,0.673,20.3,14.8,24.1,33.4,43.3,0.041,0.001,39.9,13.3,22.6,0
Mizoram,45.06,1831.8,2,2.48,0.714,72.0,74.5,128.6,75.1,120.3,0.037,0.0,81.2,49.7,60.7,1
Nagaland,29.74,1727.1,1,4.63,0.548,50.2,132.3,314.2,99.0,148.7,2.851,0.059,38.6,94.1,74.7,1
Mizoram,39.12,1428.5,1,1.52,0.622,82.0,10.2,26.5,14.6,20.7,0.002,0.002,56.8,11.0,27.1,0
Sikkim,39.07,1665.0,3,0.69,0.591,21.6,12.1,17.9,30.6,37.8,0.065,0.036,65.4,13.8,31.9,0
Manipur,22.75,864.3,2,5.06,0.688,51.5,24.4,54.5,23.9,34.7,0.127,0.004,59.7,16.3,31.5,0
Arunachal Pradesh,45.72,1874.1,1,2.69,0.682,20.9,55.1,123.1,57.9,89.3,0.106,0.02,44.5,38.6,40.7,1
Arunachal Pradesh,40.84,3722.7,1,1.21,0.569,28.6,8.2,15.9,21.6,27.4,0.009,0.014,54.2,8.0,24.1,0
Mizoram,29.34,1792.2,1,0.67,0.825,83.2,28.4,70.9,44.2,77.1,0.019,0.003,48.8,23.3,32.2,0
Meghalaya,34.66,2044.7,2,3.91,0.495,68.8,82.7,173.6,77.5,98.2,0.007,0.005,77.4,47.1,57.7,0
Manipur,14.98,483.0,2,5.82,0.584,72.8,135.7,217.2,90.8,154.1,0.383,0.02,52.9,69.5,63.7,1
Sikkim,26.24,1722.1,2,1.5,0.651,6.9,144.4,329.3,99.0,165.3,0.461,0.042,61.1,83.4,75.6,1
Arunachal Pradesh,20.21,3908.5,1,5.98,0.835,72.9,106.8,239.3,86.7,150.1,0.26,0.004,29.5,71.1,56.6,1
Nagaland,42.56,1083.7,2,0.91,0.724,49.1,152.0,424.3,99.0,125.1,0.266,0.015,77.8,82.3,80.7,1
Meghalaya,35.58,1734.5,2,1.86,0.533,45.9,54.0,92.2,51.9,76.6,0.041,0.104,77.9,39.2,52.8,0
Arunachal Pradesh,44.27,3743.1,2,6.15,0.712,41.3,4.1,9.2,25.0,34.7,0.028,0.012,69.4,11.7,31.9,0
Nagaland,33.93,2113.9,3,4.86,0.736,85.2,103.3,227.4,78.9,127.2,0.004,0.003,56.0,61.5,59.5,0
Meghalaya,20.91,879.1,2,1.42,0.534,17.7,16.4,30.4,29.9,39.3,0.029,0.048,57.2,20.7,33.5,0
Mizoram,41.97,1748.7,1,0.59,0.807,81.4,10.7,26.4,23.9,30.0,0.018,0.045,59.7,12.9,29.3,1
Meghalaya,29.35,1754.4,3,0.2,0.725,92.8,188.6,362.3,99.0,131.8,0.075,0.001,68.7,87.4,80.8,1
Nagaland,17.89,2076.5,1,8.19,0.497,16.8,115.3,267.8,99.0,177.7,0.974,0.01,24.9,75.0,57.4,0
Nagaland,30.64,1342.9,2,0.35,0.552,100.0,234.6,458.2,99.0,133.9,1.691,0.066,75.2,99.6,91.1,1
Mizoram,40.95,1135.7,3,0.55,0.725,99.1,116.8,293.4,99.0,135.8,0.38,0.013,78.7,71.9,74.2,1
Arunachal Pradesh,30.77,4122.0,2,1.22,0.764,62.1,140.1,391.8,99.0,161.7,0.087,0.019,67.5,80.6,76.0,1
Nagaland,30.05,1603.5,3,2.65,0.805,26.9,27.2,64.2,20.9,29.0,0.052,0.005,52.0,13.8,27.2,0
Mizoram,29.57,1565.9,1,7.02,0.772,43.0,1.4,3.4,24.9,37.8,0.004,0.024,31.7,9.9,17.5,0
Mizoram,25.86,1546.0,2,1.28,0.692,17.0,86.6,128.2,62.1,102.5,0.066,0.017,62.6,49.8,54.2,1
Sikkim,39.22,1872.0,1,3.53,0.794,12.0,16.2,42.8,20.9,29.2,0.006,0.017,47.6,10.3,23.4,0
Manipur,15.46,137.6,2,0.43,0.687,70.4,68.7,176.3,82.9,117.4,0.167,0.018,65.3,58.0,60.5,1
Nagaland,42.33,956.6,2,2.81,0.635,58.0,6.0,9.5,23.3,31.0,0.22,0.0,75.1,11.8,33.9,0
Arunachal Pradesh,25.7,2346.0,2,0.88,0.46,56.4,8.7,19.6,29.4,48.5,0.163,0.001,68.0,9.8,30.2,0
Sikkim,28.14,2866.4,1,1.07,0.77,24.8,42.9,111.9,70.9,127.3,0.043,0.037,42.0,38.3,39.6,0
Manipur,18.32,176.7,1,2.06,0.61,23.5,6.3,14.4,31.5,39.0,0.121,0.019,29.2,11.5,17.7,0
Arunachal Pradesh,38.23,2169.3,2,6.45,0.803,99.0,30.8,81.1,50.7,73.2,0.18,0.032,67.3,32.2,44.5,0
Assam,16.27,185.8,3,6.13,0.755,62.9,1.6,3.8,13.6,19.1,0.029,0.019,40.9,3.9,16.8,0
Mizoram,37.67,1813.9,3,2.41,0.383,81.9,49.7,100.3,48.5,68.5,0.001,0.002,65.7,32.1,43.8,0
Mizoram,30.96,1941.9,3,0.57,0.676,37.9,107.6,294.7,99.0,149.9,0.325,0.019,60.7,73.8,69.2,1
Sikkim,42.86,2486.6,2,1.48,0.619,84.4,93.5,251.8,99.0,157.9,0.252,0.005,85.1,70.8,75.8,1
Sikkim,49.8,1990.4,1,3.17,0.663,72.2,3.4,5.1,29.7,44.4,0.056,0.019,56.7,10.3,26.5,0
Assam,30.58,545.6,2,9.16,0.377,35.0,40.2,65.4,37.6,62.2,0.01,0.021,59.3,20.8,34.3,0
Sikkim,35.81,2666.2,2,15.53,0.635,71.8,4.9,10.9,17.1,21.2,0.216,0.015,62.6,12.1,29.8,1
Nagaland,32.94,1313.7,1,4.57,0.697,92.6,2.5,5.6,24.3,40.9,0.073,0.001,48.5,8.9,22.8,0
Sikkim,15.75,3521.7,2,1.94,0.576,21.4,109.9,292.3,99.0,171.2,2.086,0.002,53.6,83.8,73.3,0
Arunachal Pradesh,40.79,2422.2,1,5.32,0.485,54.8,38.2,61.8,35.1,54.8,0.074,0.016,44.1,24.4,31.3,0
Arunachal Pradesh,36.08,2335.1,2,1.84,0.586,96.7,4.4,8.6,35.2,49.0,0.095,0.004,82.4,12.5,36.9,0
Meghalaya,25.45,874.2,1,4.42,0.438,82.1,20.1,55.6,26.3,39.1,0.034,0.002,39.2,13.5,22.5,0
Tripura,26.51,436.3,1,1.26,0.477,62.0,17.1,44.6,33.9,52.7,0.026,0.003,47.1,19.2,29.0,0
Sikkim,30.06,3199.8,2,1.4,0.6,7.0,18.9,50.4,52.7,88.5,0.013,0.029,66.5,21.0,36.9,0
Sikkim,48.17,3282.3,2,0.35,0.675,40.6,18.2,26.3,8.1,13.5,0.09,0.012,85.4,5.3,33.3,0
Sikkim,42.19,2667.9,2,2.45,0.734,65.1,78.3,133.8,58.2,82.0,0.026,0.005,76.7,45.2,56.2,0
Meghalaya,34.03,1033.0,3,4.33,0.671,41.0,163.0,333.9,99.0,144.5,0.17,0.013,58.6,89.8,78.8,1
Meghalaya,27.21,1799.4,1,7.0,0.739,99.7,105.0,275.5,99.0,164.3,0.01,0.029,39.1,73.3,61.4,1
Manipur,9.05,111.8,3,7.48,0.365,75.3,1.4,2.7,9.5,13.8,0.04,0.063,37.1,6.1,17.0,0
Meghalaya,39.4,1739.2,1,21.98,0.646,18.7,70.3,114.3,54.2,85.6,0.01,0.038,38.1,42.3,40.9,0
